feature,psi
atr_14,0.8974836653475573
volatility_20,0.8856436777009764
volatility_10,0.7779112985915981
donchian_width,0.736255903962141
macd_signal,0.6578381819804118
bb_width,0.5901091306437861
volatility_5,0.5806262139707019
park_vol,0.5506734842625676
price_diff,0.5139887211221361
intraday_return,0.33366178300929084
return,0.26770876369330754
return_lag_2,0.26767649210890615
return_lag_1,0.2671593603454724
momentum_60,0.24654168272377572
return_5d,0.23675261336742853
ma_gap_5,0.2305847588542539
return_10d,0.22711931882785893
return_20d,0.22217118156534485
ichi_width,0.22111599370274282
volume_ratio_1,0.22097440508626942
close_position,0.20726248532502117
upper_shadow,0.17721453243201038
volume_ratio_10,0.145020680069535
obv_ratio,0.12807264159179918
lower_shadow,0.11352602067046504
candle_body,0.0770553101398682
cs_rank_return,0.029778411504118737
cs_rank_rel_volume,0.02872787535445078
cs_rank_macd_hist,0.02580945659228441
cs_rank_rsi_14,0.025616473439069143
cs_rank_bb_percent_b,0.025532923381290165
donchian_pos,0.0226952089176612
rsi_28,0.02121828574032298
stoch_k,0.01844540998330507
return_kurt_20,0.01641168407526987
minus_di,0.016134694997014053
cmf_20,0.015832902438485962
bb_percent_b,0.014186872984345148
keltner_position,0.013981099753613613
rsi_14,0.013638920882785609
ha_trend,0.012428120276996194
mfi_14,0.008010206603724812
return_z20,0.0029148741978446626
adx_14,0.002680038461918522
momentum_10_z20,0.0022811951798501723
month_cos,0.001309664354630932
volatility_20_z20,0.0004296138695168032
day_sin,3.835464851627913e-05
day_cos,2.055486255317773e-05
ma_cross,0.0
ichi_above,0.0
is_quarter_end,0.0
is_january,0.0
doji,0.0
is_december,0.0
