feature,mi_score,selected,dropped_correlation
ichi_above,0.010586769970549526,True,False
ma_cross,0.010144857995651568,True,False
day_cos,0.005486976602773419,True,False
bb_width,0.005190193256907616,True,False
donchian_width,0.004479249185665557,True,False
donchian_pos,0.003927438408202422,True,False
stoch_k,0.003771942609830159,True,False
month_cos,0.0036355163539250057,True,False
return,0.003448000249216765,True,False
park_vol,0.003003523218225279,True,False
cs_rank_rel_volume,0.002949401103185423,True,False
return_5d,0.0029353061094723465,True,False
volatility_10,0.002912658005574942,True,False
is_quarter_end,0.002862745426415625,True,False
is_january,0.0028275342340835508,True,False
price_diff,0.002804357598876761,True,False
intraday_return,0.002777570557639164,True,False
day_sin,0.0027706388198502907,True,False
return_10d,0.0027104511239421925,True,False
bb_percent_b,0.0026722794003877226,True,False
return_kurt_20,0.0026468072564496126,True,False
momentum_10_z20,0.002630594973597633,True,False
cs_rank_bb_percent_b,0.0024883690342536458,True,False
mfi_14,0.0024736027372223024,True,False
close_position,0.0024614770820019505,True,False
cmf_20,0.0024531476114635353,True,False
obv_ratio,0.002431905462942252,True,False
volatility_20,0.0023978374675581726,True,False
cs_rank_rsi_14,0.0023467572717312812,True,False
macd_signal,0.0023026086508746157,True,False
doji,0.002207674507515467,True,False
keltner_position,0.0022045278376443544,True,False
volatility_5,0.0019644470780160184,True,False
minus_di,0.001939976757858286,True,False
adx_14,0.001861181677895285,True,False
rsi_28,0.0018148412063256902,True,False
ha_trend,0.0015254819731207458,True,False
volume_ratio_10,0.0012532440058463656,True,False
return_lag_1,0.0012312682006130338,True,False
candle_body,0.0012159465455108265,True,False
momentum_60,0.001171578360198433,True,False
rsi_14,0.0011056862580038906,True,False
ichi_width,0.0009823347491002554,True,False
cs_rank_macd_hist,0.0009741045313789165,True,False
cs_rank_return,0.0008536705099253528,True,False
return_z20,0.0008418215053724865,True,False
return_lag_2,0.0007578215296883961,True,False
is_december,0.0006938691313984613,True,False
lower_shadow,0.0006900186888647575,True,False
volume_ratio_1,0.0006370818335459383,True,False
ma_gap_5,0.0006157643499518084,True,False
volatility_20_z20,0.0006007644679475455,True,False
atr_14,0.0005014501672175875,True,False
return_20d,0.0004889000403263122,True,False
upper_shadow,0.000449890635003225,True,False
stoch_d,0.0004429667722745112,False,False
macd_norm,0.00042416527315536356,False,False
ma_gap_20,0.000423549680493851,False,False
macd,0.0002949575192920939,False,False
cs_rank_momentum_10,0.00027146814910894435,False,False
month_sin,0.0001869024591842905,False,False
ma_gap_10,0.0001731405756315585,False,False
vol_regime,0.0,False,False
trend_strength,0.0,False,False
ma_gap_50,0.0,False,False
oc_gap,0.0,False,False
volume_ratio_3,0.0,False,False
volume_ratio_5,0.0,False,False
return_lag_10,0.0,False,False
return_lag_3,0.0,False,False
plus_di,0.0,False,False
return_lag_5,0.0,False,False
macd_hist,0.0,False,False
return_skew_20,0.0,False,False
ha_candle_body,0.0,False,False
rel_volume,0.0,False,False
keltner_width,0.0,False,False
stoch_rsi,0.0,False,False
return_autocorr_5,0.0,False,False
elder_bull,0.0,False,False
ichi_tk_cross,0.0,False,False
rsi_14_z20,0.0,False,False
rel_volume_z20,0.0,False,False
dpo_20,0.0,False,False
elder_bear,0.0,False,False
is_month_end,0.0,False,False
cs_rank_return_5d,0.0,False,False
cs_rank_volatility_20,0.0,False,False
cs_rank_ma_gap_20,0.0,False,False
