source_type,source_path,video_id,scene,label,predefined_role,num_frames,fps,xml_path,split
video,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/4_Italy/View_2/Test/Footage.mp4,4_Italy/View_2/Test/Footage,4_Italy,1,test,701,25.0,,train
video,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/4_Italy/View_1/Test/Footage.mp4,4_Italy/View_1/Test/Footage,4_Italy,1,test,701,25.0,,train
video,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/2_Las_Vegas/Test_4/Footage.mp4,2_Las_Vegas/Test_4/Footage,2_Las_Vegas,1,test,3407,15.166666394623276,,test
video,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/2_Las_Vegas/Test_2/Footage.mp4,2_Las_Vegas/Test_2/Footage,2_Las_Vegas,1,test,924,15.166666453890763,,train
video,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/2_Las_Vegas/Test_3/Footage.mp4,2_Las_Vegas/Test_3/Footage,2_Las_Vegas,1,test,1854,15.166666999946736,,val
video,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/2_Las_Vegas/Test_1/Footage.mp4,2_Las_Vegas/Test_1/Footage,2_Las_Vegas,1,test,2190,30.0,,train
video,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/2_Las_Vegas/Train/Footage.mp4,2_Las_Vegas/Train/Footage,2_Las_Vegas,0,train,10818,30.000029580358248,,train
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/4_Italy/View_2/Test,4_Italy/View_2/Test,4_Italy,1,test,702,,,test
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/4_Italy/View_1/Test,4_Italy/View_1/Test,4_Italy,1,test,702,,,train
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/3_Love Parade/Train_1,3_Love Parade/Train_1,3_Love Parade,0,train,131,,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/3_Love Parade/Test/Label/PASCAL_VOC/scene-00056.xml,train
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/3_Love Parade/Test,3_Love Parade/Test,3_Love Parade,1,test,361,,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/3_Love Parade/Test/Label/PASCAL_VOC/scene-00056.xml,train
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/3_Love Parade/Train_2,3_Love Parade/Train_2,3_Love Parade,0,train,119,,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/3_Love Parade/Test/Label/PASCAL_VOC/scene-00056.xml,train
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/2_Las_Vegas/Test_4,2_Las_Vegas/Test_4,2_Las_Vegas,1,test,3407,,,val
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/2_Las_Vegas/Test_2,2_Las_Vegas/Test_2,2_Las_Vegas,1,test,920,,,train
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/2_Las_Vegas/Test_3,2_Las_Vegas/Test_3,2_Las_Vegas,1,test,1854,,,train
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/2_Las_Vegas/Test_1,2_Las_Vegas/Test_1,2_Las_Vegas,1,test,1062,,,test
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/2_Las_Vegas/Train,2_Las_Vegas/Train,2_Las_Vegas,0,train,4347,,,test
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/1_Times_Square/View_2/Test,1_Times_Square/View_2/Test,1_Times_Square,1,test,1173,,,train
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/1_Times_Square/View_2/Train,1_Times_Square/View_2/Train,1_Times_Square,0,train,150,,,train
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/1_Times_Square/View_1/Test,1_Times_Square/View_1/Test,1_Times_Square,1,test,1026,,,train
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/1_Times_Square/View_1/Train,1_Times_Square/View_1/Train,1_Times_Square,0,train,379,,,train
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/1_Times_Square/View_3/Test,1_Times_Square/View_3/Test,1_Times_Square,1,test,1151,,,train
frames,/kaggle/input/datasets/angelchi56/abnormal-highdensity-crowds/Abnormal High-density Crowds/1_Times_Square/View_3/Train,1_Times_Square/View_3/Train,1_Times_Square,0,train,184,,,val
